iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
2750,0.29600003,0.568,0.184,0.46400002
2760,0.18400002,0.528,0.192,0.496
2770,0.168,0.568,0.168,0.472
2780,0.184,0.45599997,0.216,0.48
2790,0.192,0.44,0.2,0.48800004
2800,0.23200001,0.46400002,0.152,0.43199998
2810,0.16800001,0.45599997,0.16800001,0.472
2820,0.18400002,0.52,0.248,0.48
2830,0.208,0.536,0.22399999,0.44799998
2840,0.128,0.496,0.192,0.48
2850,0.208,0.472,0.192,0.504
2860,0.23200001,0.44800004,0.192,0.472
2870,0.208,0.472,0.104,0.4
2880,0.22400002,0.44800004,0.16800001,0.49600002
2890,0.192,0.552,0.208,0.496
2900,0.208,0.432,0.248,0.432
2910,0.24,0.44799998,0.216,0.512
2920,0.184,0.512,0.22399999,0.41599998
2930,0.2,0.544,0.20799999,0.44
2940,0.184,0.544,0.25599998,0.46400002
2950,0.18400002,0.49600002,0.184,0.48800004
2960,0.216,0.512,0.176,0.46400002
2970,0.24,0.52,0.22399999,0.44800004
2980,0.192,0.472,0.18400002,0.51199996
2990,0.26400003,0.50399995,0.22400002,0.504
3000,0.288,0.52,0.22400002,0.48
3010,0.21599999,0.48000005,0.20799999,0.52
3020,0.144,0.552,0.2,0.432
3030,0.20799999,0.44,0.192,0.51199996
3040,0.24,0.48,0.144,0.45600003
3050,0.20799999,0.544,0.216,0.51199996
3060,0.176,0.48800004,0.16,0.536
3070,0.23200001,0.488,0.18400002,0.52800006
3080,0.184,0.504,0.216,0.48800004
3090,0.18400002,0.488,0.22400002,0.46400002
3100,0.144,0.44800004,0.208,0.52
3110,0.192,0.51199996,0.128,0.46400002
3120,0.184,0.472,0.2,0.45599997
3130,0.22400002,0.48,0.168,0.552
3140,0.24,0.504,0.16,0.536
3150,0.264,0.512,0.216,0.48800004
3160,0.2,0.512,0.20799999,0.568
3170,0.22400002,0.544,0.176,0.512
3180,0.23200001,0.48,0.24800001,0.488
3190,0.23200001,0.536,0.192,0.51199996
3200,0.20799999,0.48,0.256,0.47199997
3210,0.176,0.48800004,0.256,0.432
3220,0.2,0.536,0.2,0.496
3230,0.20799999,0.46400002,0.176,0.504
3240,0.16800001,0.568,0.22400002,0.496
3250,0.2,0.46400002,0.28,0.51199996
3260,0.18400002,0.44800004,0.184,0.544
3270,0.216,0.44,0.2,0.47199997
3280,0.2,0.504,0.20799999,0.496
3290,0.272,0.48800004,0.18400002,0.536
3300,0.176,0.52,0.22400002,0.544
3310,0.2,0.48,0.16,0.45599997
3320,0.26400003,0.45600003,0.22400002,0.536
3330,0.256,0.512,0.20799999,0.536
3340,0.216,0.52,0.2,0.56
3350,0.22400002,0.504,0.272,0.544
3360,0.14400001,0.54399997,0.21599999,0.49600002
3370,0.2,0.56,0.168,0.536
3380,0.216,0.568,0.20799999,0.544
3390,0.208,0.496,0.20799999,0.51199996
3400,0.16800001,0.584,0.24,0.52
3410,0.176,0.552,0.18400002,0.536
3420,0.176,0.46400002,0.256,0.552
3430,0.168,0.52800006,0.20799999,0.568
3440,0.18400002,0.44799998,0.168,0.496
3450,0.2,0.48800004,0.2,0.46400002
3460,0.18400002,0.504,0.23200001,0.60800004
3470,0.176,0.488,0.192,0.56000006
3480,0.248,0.52800006,0.176,0.576
3490,0.2,0.504,0.176,0.55200005
3500,0.168,0.52800006,0.24800001,0.624
3510,0.20799999,0.52,0.256,0.46400002
3520,0.192,0.528,0.184,0.52800006
3530,0.24,0.536,0.2,0.68
3540,0.25599998,0.552,0.192,0.52800006
3550,0.24,0.536,0.192,0.48
3560,0.20799999,0.51199996,0.2,0.52800006
3570,0.216,0.544,0.23200001,0.56
3580,0.22400002,0.496,0.208,0.496
3590,0.2,0.48800004,0.15200001,0.496
3600,0.24,0.48,0.192,0.52
3610,0.192,0.512,0.24800001,0.472
3620,0.22400002,0.52800006,0.216,0.51199996
3630,0.208,0.536,0.184,0.528
3640,0.24,0.52800006,0.20799999,0.496
3650,0.176,0.52799994,0.168,0.504
3660,0.176,0.56,0.22400002,0.52
3670,0.264,0.568,0.176,0.536
3680,0.088,0.48,0.168,0.47199997
3690,0.216,0.49600002,0.22399999,0.57600003
3700,0.216,0.48,0.14400001,0.576
3710,0.23200001,0.552,0.192,0.512
3720,0.184,0.544,0.144,0.48800004
3730,0.28800002,0.544,0.16800001,0.576
3740,0.22400002,0.552,0.176,0.504
3750,0.18400002,0.56000006,0.16,0.504
3760,0.20799999,0.568,0.22400002,0.56
3770,0.272,0.488,0.096,0.59200007
3780,0.14400001,0.544,0.22400002,0.536
3790,0.16800001,0.55200005,0.18400002,0.488
3800,0.13599999,0.55200005,0.24,0.57600003
3810,0.176,0.568,0.2,0.60800004
3820,0.18400002,0.52800006,0.14400001,0.496
3830,0.23200001,0.504,0.20799999,0.6
3840,0.176,0.472,0.26400003,0.512
3850,0.22399999,0.472,0.23200001,0.49600005
3860,0.22400002,0.52,0.15200001,0.56
3870,0.2,0.48,0.176,0.648
3880,0.176,0.536,0.23200001,0.568
3890,0.216,0.57600003,0.18400002,0.56
3900,0.22399999,0.55200005,0.176,0.584
3910,0.216,0.536,0.192,0.52800006
3920,0.256,0.552,0.15200001,0.46400002
3930,0.22399999,0.576,0.18400002,0.504
3940,0.168,0.48800004,0.20799999,0.544
3950,0.20799999,0.504,0.128,0.544
3960,0.184,0.52,0.176,0.536
3970,0.22400002,0.576,0.15200001,0.61600006
3980,0.176,0.57600003,0.192,0.49600002
3990,0.23200001,0.46400002,0.256,0.584
4000,0.20799999,0.584,0.20799999,0.568
4010,0.22400002,0.544,0.192,0.568
4020,0.128,0.51199996,0.26400003,0.48
4030,0.184,0.536,0.104,0.504
4040,0.216,0.56,0.24800001,0.56
4050,0.20799999,0.536,0.2,0.552
4060,0.2,0.552,0.18400002,0.544
4070,0.18400002,0.44800004,0.176,0.496
4080,0.256,0.536,0.26400003,0.552
4090,0.22400002,0.552,0.2,0.536
4100,0.312,0.472,0.192,0.544
4110,0.168,0.48,0.24,0.52
4120,0.16,0.552,0.21600002,0.568
4130,0.264,0.544,0.16,0.624
4140,0.136,0.576,0.17599998,0.568
4150,0.208,0.632,0.216,0.48
4160,0.23200001,0.56,0.23200001,0.59200007
4170,0.20799999,0.568,0.2,0.512
4180,0.216,0.52800006,0.2,0.48800004
4190,0.22399999,0.52800006,0.23200001,0.544
4200,0.23200001,0.59200007,0.192,0.552
4210,0.176,0.52,0.15200001,0.552
4220,0.24800001,0.59200007,0.248,0.56
4230,0.136,0.568,0.13599999,0.504
4240,0.216,0.584,0.16,0.536
4250,0.272,0.56,0.184,0.52
4260,0.2,0.544,0.256,0.44800004
4270,0.248,0.536,0.192,0.536
4280,0.20799999,0.51199996,0.22399999,0.57600003
4290,0.256,0.56000006,0.16800001,0.544
4300,0.2,0.57600003,0.2,0.55200005
4310,0.18400002,0.44,0.192,0.48
4320,0.176,0.49600005,0.18400002,0.512
4330,0.12799999,0.512,0.22400002,0.55200005
4340,0.136,0.552,0.2,0.56
4350,0.2,0.544,0.11200001,0.64
4360,0.17599998,0.584,0.22400002,0.56
4370,0.2,0.616,0.192,0.52
4380,0.128,0.57600003,0.192,0.544
4390,0.15200001,0.55200005,0.24,0.568
4400,0.2,0.60800004,0.22400002,0.52
4410,0.24,0.568,0.20799999,0.584
4420,0.23200001,0.57600003,0.16800001,0.44800004
4430,0.256,0.59200007,0.168,0.56
4440,0.232,0.536,0.23200001,0.59200007
4450,0.2,0.544,0.208,0.544
4460,0.18400002,0.536,0.152,0.632
4470,0.168,0.52800006,0.24,0.536
4480,0.24000002,0.528,0.192,0.5360001
4490,0.16,0.51199996,0.21599999,0.552
4500,0.2,0.536,0.22399999,0.55200005
4510,0.16,0.504,0.192,0.48
4520,0.20799999,0.52800006,0.2,0.55200005
4530,0.21600002,0.536,0.16,0.536
4540,0.176,0.552,0.248,0.544
4550,0.2,0.512,0.192,0.52
4560,0.20799999,0.52,0.16,0.52
4570,0.176,0.52,0.176,0.536
4580,0.15200001,0.624,0.18400002,0.568
4590,0.176,0.544,0.20799999,0.576
4600,0.2,0.544,0.16,0.512
4610,0.26400003,0.576,0.192,0.592
4620,0.16800001,0.57600003,0.22400002,0.536
4630,0.16,0.528,0.168,0.59200007
4640,0.192,0.52000004,0.192,0.544
4650,0.2,0.504,0.20799999,0.52
4660,0.192,0.6,0.24,0.576
4670,0.216,0.552,0.168,0.59200007
4680,0.216,0.584,0.26400003,0.552
4690,0.128,0.51199996,0.20799999,0.47200003
4700,0.16,0.544,0.16,0.544
4710,0.22400002,0.496,0.16800001,0.488
4720,0.184,0.552,0.192,0.584
4730,0.192,0.584,0.17600003,0.584
4740,0.192,0.528,0.28800002,0.496
4750,0.18400002,0.6,0.216,0.544
4760,0.16,0.58400005,0.22399999,0.536
4770,0.192,0.51199996,0.2,0.6
4780,0.2,0.52800006,0.24,0.504
4790,0.248,0.52,0.2,0.56
4800,0.216,0.616,0.192,0.544
4810,0.176,0.576,0.208,0.59199995
4820,0.176,0.536,0.216,0.56
4830,0.23200001,0.568,0.176,0.52800006
4840,0.216,0.57600003,0.22400002,0.512
4850,0.176,0.544,0.14400001,0.56
4860,0.2,0.536,0.128,0.528
4870,0.22399999,0.624,0.192,0.552
4880,0.14400001,0.56,0.20799999,0.57600003
4890,0.23200001,0.504,0.22399998,0.52800006
4900,0.144,0.55200005,0.18400002,0.56
4910,0.176,0.504,0.21600002,0.584
4920,0.22400002,0.552,0.20799999,0.50399995
4930,0.22400002,0.552,0.136,0.576
4940,0.22400002,0.536,0.216,0.56000006
4950,0.23200001,0.46400002,0.16,0.56
4960,0.192,0.512,0.216,0.60800004
4970,0.264,0.584,0.23200001,0.472
4980,0.18400002,0.536,0.18400002,0.504
4990,0.136,0.55200005,0.2,0.54399997
5000,0.176,0.536,0.20799999,0.52
5010,0.2,0.57600003,0.22399999,0.544
5020,0.27199998,0.584,0.16800001,0.61600006
5030,0.24,0.648,0.13599999,0.544
5040,0.22400002,0.51199996,0.15200001,0.59199995
5050,0.248,0.552,0.23200001,0.55200005
5060,0.15200001,0.544,0.16,0.568
5070,0.21599999,0.568,0.168,0.568
5080,0.152,0.49600002,0.168,0.60800004
5090,0.192,0.512,0.18400002,0.536
5100,0.176,0.624,0.208,0.52
5110,0.216,0.552,0.248,0.6
5120,0.208,0.568,0.23200001,0.6
5130,0.21600002,0.576,0.136,0.536
5140,0.20000002,0.512,0.22400002,0.648
5150,0.22399999,0.5360001,0.128,0.552
5160,0.216,0.57600003,0.16800001,0.552
5170,0.16,0.568,0.15200001,0.56
5180,0.17599998,0.57600003,0.16800001,0.57600003
5190,0.27199998,0.52,0.176,0.552
5200,0.23200001,0.512,0.22399999,0.552
5210,0.176,0.544,0.20799999,0.616
5220,0.216,0.568,0.2,0.56799996
5230,0.176,0.59200007,0.192,0.57600003
5240,0.176,0.496,0.208,0.59200007
5250,0.16800001,0.512,0.24,0.552
5260,0.216,0.56,0.24,0.55200005
5270,0.2,0.568,0.192,0.536
5280,0.14400001,0.616,0.15200001,0.52800006
5290,0.16,0.496,0.18400002,0.552
5300,0.184,0.52,0.216,0.52
5310,0.216,0.504,0.24,0.56
5320,0.168,0.616,0.20799999,0.544
5330,0.216,0.584,0.208,0.55200005
5340,0.16800001,0.48,0.2,0.6
5350,0.16,0.56,0.272,0.568
5360,0.232,0.568,0.23200001,0.504
5370,0.2,0.48,0.176,0.536
